timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb
1761487151.52, 186.53, 523.44, 3564.82
1761487151.71, 195.18, 523.44, 3564.82
1761487151.90, 193.71, 523.44, 3564.82
1761487152.10, 191.43, 523.44, 3564.82
1761487152.29, 201.31, 523.44, 3564.82
1761487152.49, 264.55, 523.44, 3564.82
1761487152.75, 201.40, 523.44, 3564.82
1761487152.96, 199.36, 523.44, 3564.82
1761487153.16, 192.67, 523.44, 3564.82
1761487153.35, 192.58, 523.44, 3564.82
1761487153.54, 256.22, 523.44, 3564.82
1761487153.80, 209.65, 523.44, 3564.82
1761487154.01, 194.52, 523.44, 3564.82
1761487154.20, 193.40, 523.44, 3564.82
1761487154.40, 211.94, 523.44, 3564.82
1761487154.61, 199.18, 523.44, 3564.82
1761487154.81, 191.95, 523.44, 3564.82
1761487155.00, 182.30, 523.44, 3564.82
1761487155.18, 185.02, 523.44, 3564.82
1761487155.37, 185.51, 523.44, 3564.82
1761487155.55, 187.31, 523.44, 3564.82
1761487155.74, 200.30, 523.44, 3564.82
1761487155.94, 189.16, 523.44, 3564.82
1761487156.13, 195.81, 523.44, 3564.82
1761487156.33, 183.38, 523.44, 3564.82
1761487156.51, 229.07, 523.44, 3564.82
1761487156.74, 214.16, 523.44, 3564.82
1761487156.96, 202.17, 523.44, 3564.82
1761487157.16, 206.42, 523.44, 3564.82
1761487157.37, 239.36, 523.44, 3564.82
1761487157.61, 201.34, 523.44, 3564.82
1761487157.81, 195.51, 523.44, 3564.82
1761487158.00, 200.17, 523.44, 3564.82
1761487158.20, 200.27, 523.44, 3564.82
1761487158.40, 200.68, 523.44, 3564.82
1761487158.61, 199.25, 523.44, 3564.82
1761487158.80, 229.48, 523.44, 3564.82
1761487159.03, 187.23, 523.44, 3564.82
1761487159.22, 185.22, 523.44, 3564.82
1761487159.41, 184.23, 523.44, 3564.82
1761487159.59, 199.56, 523.44, 3564.82
1761487159.79, 181.13, 523.44, 3564.82
1761487159.97, 182.93, 523.44, 3564.82
1761487160.16, 181.97, 523.44, 3564.82
1761487160.34, 180.43, 523.44, 3564.82
1761487160.52, 181.92, 523.44, 3564.82
1761487160.70, 215.03, 523.44, 3564.82
1761487160.92, 215.89, 523.44, 3564.82
1761487161.13, 192.87, 523.44, 3564.82
1761487161.33, 193.26, 523.44, 3564.82
1761487161.52, 195.92, 523.44, 3564.82
1761487161.72, 226.99, 523.44, 3564.82
1761487161.94, 193.72, 523.44, 3564.82
1761487162.14, 200.79, 523.44, 3564.82
1761487162.34, 202.08, 523.44, 3564.82
1761487162.54, 218.21, 523.44, 3564.82
1761487162.76, 198.45, 523.44, 3564.82
1761487162.96, 200.66, 523.44, 3564.82
1761487163.16, 193.29, 523.44, 3564.82
1761487163.35, 193.46, 523.38, 3564.82
1761487163.55, 234.49, 523.38, 3564.82
1761487163.78, 185.96, 523.38, 3564.82
1761487163.97, 182.10, 523.38, 3564.82
1761487164.15, 183.53, 523.38, 3564.82
1761487164.33, 179.70, 523.38, 3564.82
1761487164.51, 183.19, 523.38, 3564.82
1761487164.70, 199.32, 523.38, 3564.82
1761487164.90, 184.24, 523.38, 3564.82
1761487165.08, 190.39, 523.38, 3564.82
1761487165.27, 181.76, 523.38, 3564.82
1761487165.46, 188.55, 523.38, 3564.82
1761487165.64, 190.93, 523.38, 3564.82
1761487165.84, 230.83, 523.38, 3564.82
1761487166.07, 203.47, 523.38, 3564.82
1761487166.27, 198.14, 523.38, 3564.82
1761487166.47, 216.99, 523.38, 3564.82
1761487166.69, 209.80, 523.38, 3564.82
1761487166.90, 193.71, 523.38, 3564.82
1761487167.09, 199.20, 523.38, 3564.82
1761487167.29, 213.97, 523.38, 3564.82
1761487167.50, 200.53, 523.38, 3564.82
1761487167.70, 222.98, 523.38, 3564.82
1761487167.93, 207.06, 523.38, 3564.82
1761487168.14, 194.92, 523.38, 3564.82
1761487168.33, 184.65, 523.38, 3564.82
1761487168.52, 185.81, 523.38, 3564.82
1761487168.70, 199.17, 523.38, 3564.82
1761487168.90, 186.87, 523.38, 3564.82
1761487169.09, 182.62, 523.38, 3564.82
1761487169.27, 189.64, 523.38, 3564.82
1761487169.46, 181.40, 523.38, 3564.82
1761487169.64, 183.27, 523.38, 3564.82
1761487169.83, 196.61, 523.38, 3564.82
1761487170.02, 191.03, 523.38, 3564.82
1761487170.21, 188.23, 523.38, 3564.82
1761487170.40, 198.57, 523.38, 3564.82
1761487170.60, 223.52, 523.38, 3564.82
1761487170.83, 198.86, 523.38, 3564.82
1761487171.03, 202.83, 523.38, 3564.82
1761487171.23, 196.59, 523.38, 3564.82
1761487171.43, 198.66, 523.38, 3564.82
1761487171.62, 225.71, 523.38, 3564.82
1761487171.85, 202.95, 523.38, 3564.82
1761487172.05, 190.71, 523.38, 3564.82
1761487172.24, 197.07, 523.38, 3564.82
1761487172.44, 193.44, 523.38, 3564.82
1761487172.64, 223.37, 523.38, 3564.82
1761487172.86, 205.56, 523.38, 3564.82
1761487173.07, 182.79, 523.38, 3564.82
1761487173.25, 182.42, 523.38, 3564.82
1761487173.43, 192.42, 523.38, 3564.82
1761487173.62, 228.84, 523.23, 3564.82
1761487173.85, 193.56, 523.23, 3564.82
1761487174.05, 183.93, 523.23, 3564.82
1761487174.23, 183.55, 523.23, 3564.82
1761487174.41, 181.91, 523.23, 3564.82
1761487174.60, 199.80, 523.23, 3564.82
1761487174.80, 185.53, 523.23, 3564.82
1761487174.98, 194.98, 523.23, 3564.82
1761487175.18, 192.49, 523.23, 3564.82
1761487175.37, 194.15, 523.23, 3564.82
1761487175.57, 207.83, 523.23, 3564.82
1761487175.77, 236.28, 523.23, 3564.82
1761487176.01, 217.79, 523.23, 3564.82
1761487176.23, 197.90, 523.23, 3564.82
1761487176.43, 192.40, 523.23, 3564.82
1761487176.62, 196.15, 523.23, 3564.82
1761487176.82, 226.93, 523.23, 3564.82
1761487177.04, 193.99, 523.23, 3564.82
1761487177.24, 193.07, 523.23, 3564.82
1761487177.43, 189.40, 523.23, 3564.82
1761487177.62, 218.81, 523.23, 3564.82
1761487177.84, 197.63, 523.23, 3564.82
1761487178.04, 183.09, 523.23, 3564.82
1761487178.22, 187.05, 523.23, 3564.82
1761487178.41, 182.24, 523.23, 3564.82
1761487178.59, 197.25, 523.23, 3564.82
1761487178.79, 183.97, 523.23, 3564.82
1761487178.97, 184.24, 523.23, 3564.82
1761487179.16, 183.45, 523.23, 3564.82
1761487179.34, 182.50, 523.23, 3564.82
1761487179.52, 193.20, 523.23, 3564.82
1761487179.72, 221.78, 523.23, 3564.82
1761487179.94, 209.98, 523.23, 3564.82
1761487180.15, 199.68, 523.23, 3564.82
1761487180.35, 197.64, 523.23, 3564.82
1761487180.55, 194.83, 523.23, 3564.82
1761487180.74, 230.18, 523.23, 3564.82
1761487180.97, 205.61, 523.23, 3564.82
1761487181.18, 212.19, 523.23, 3564.82
1761487181.39, 196.69, 523.23, 3564.82
1761487181.59, 248.53, 523.23, 3564.82
1761487181.84, 199.96, 523.23, 3564.82
1761487182.04, 193.41, 523.23, 3564.82
1761487182.23, 183.43, 523.23, 3564.82
1761487182.42, 185.63, 523.23, 3564.82
1761487182.60, 224.10, 523.23, 3564.82
1761487182.83, 193.04, 523.23, 3564.82
1761487183.02, 210.38, 523.23, 3564.82
1761487183.23, 228.14, 523.23, 3564.82
1761487183.46, 296.72, 523.23, 3564.82
1761487183.76, 328.26, 523.23, 3564.82
1761487184.09, 262.39, 523.23, 3564.82
1761487184.35, 221.65, 523.23, 3564.82
1761487184.57, 273.32, 523.23, 3564.82
1761487184.84, 227.68, 523.23, 3564.82
1761487185.07, 220.74, 523.48, 3564.82
1761487185.29, 218.60, 523.48, 3564.82
1761487185.51, 279.25, 523.48, 3564.82
1761487185.79, 214.65, 523.48, 3564.82
1761487186.01, 217.11, 523.48, 3564.82
1761487186.22, 235.49, 523.48, 3564.82
1761487186.46, 197.50, 523.48, 3564.82
1761487186.66, 217.52, 523.48, 3564.82
1761487186.88, 183.91, 523.48, 3564.82
1761487187.06, 184.64, 523.48, 3564.82
1761487187.25, 184.46, 523.48, 3564.82
1761487187.43, 189.63, 523.48, 3564.82
1761487187.62, 187.17, 523.48, 3564.82
1761487187.81, 208.90, 523.48, 3564.82
1761487188.02, 184.18, 523.48, 3564.82
1761487188.20, 187.75, 523.48, 3564.82
1761487188.39, 195.89, 523.48, 3564.82
1761487188.59, 198.74, 523.48, 3564.82
1761487188.78, 193.02, 523.48, 3564.82
1761487188.98, 195.58, 523.48, 3564.82
1761487189.17, 196.47, 523.48, 3564.82
1761487189.37, 207.61, 523.48, 3564.82
1761487189.58, 237.17, 523.48, 3564.82
1761487189.82, 193.86, 523.48, 3564.82
1761487190.01, 195.44, 523.48, 3564.82
1761487190.21, 194.77, 523.48, 3564.82
1761487190.40, 192.30, 523.48, 3564.82
1761487190.59, 214.48, 523.48, 3564.82
1761487190.81, 226.19, 523.48, 3564.82
1761487191.03, 192.70, 523.48, 3564.82
1761487191.23, 198.60, 523.48, 3564.82
1761487191.43, 186.03, 523.48, 3564.82
1761487191.61, 183.26, 523.48, 3564.82
1761487191.80, 203.50, 523.48, 3564.82
1761487192.00, 183.86, 523.48, 3564.82
1761487192.18, 184.81, 523.48, 3564.82
1761487192.37, 184.01, 523.48, 3564.82
1761487192.55, 204.48, 523.48, 3564.82
1761487192.76, 193.97, 523.48, 3564.82
1761487192.95, 182.01, 523.48, 3564.82
1761487193.14, 186.42, 523.48, 3564.82
1761487193.32, 195.34, 523.48, 3564.82
1761487193.52, 214.15, 523.48, 3564.82
1761487193.73, 236.29, 523.48, 3564.82
1761487193.97, 198.68, 523.48, 3564.82
1761487194.17, 194.58, 523.48, 3564.82
1761487194.36, 193.54, 523.48, 3564.82
1761487194.56, 193.49, 523.48, 3564.82
1761487194.75, 232.43, 523.48, 3564.82
1761487194.98, 200.79, 523.48, 3564.82
1761487195.18, 195.58, 523.48, 3564.82
1761487195.38, 197.36, 523.48, 3564.82
1761487195.58, 224.81, 523.48, 3564.82
1761487195.80, 190.17, 523.48, 3564.82
1761487195.99, 181.04, 523.48, 3564.82
1761487196.17, 181.86, 523.48, 3564.82
1761487196.36, 183.07, 523.48, 3564.82
1761487196.54, 192.98, 523.48, 3564.82
1761487196.73, 211.73, 523.48, 3564.82
1761487196.95, 188.80, 523.48, 3564.82
1761487197.13, 193.97, 523.48, 3564.82
1761487197.33, 187.57, 523.48, 3564.82
1761487197.52, 184.36, 523.48, 3564.82
1761487197.70, 209.01, 523.48, 3564.82
1761487197.91, 212.35, 523.48, 3564.82
1761487198.12, 218.77, 523.48, 3564.82
1761487198.34, 308.44, 523.48, 3564.82
1761487198.65, 352.40, 523.48, 3564.82
1761487199.00, 282.47, 523.48, 3564.82
1761487199.29, 198.39, 523.48, 3564.82
1761487199.49, 256.61, 523.48, 3564.82
1761487199.74, 208.54, 523.48, 3564.82
1761487199.95, 208.21, 523.48, 3564.82
1761487200.16, 237.95, 523.48, 3564.82
1761487200.40, 223.08, 523.48, 3564.82
1761487200.62, 253.94, 523.48, 3564.82
1761487200.88, 263.18, 523.48, 3564.82
1761487201.14, 218.92, 523.48, 3564.82
1761487201.36, 196.54, 523.48, 3564.82
1761487201.56, 198.21, 523.48, 3564.82
1761487201.76, 202.72, 523.48, 3564.82
1761487201.96, 184.41, 523.48, 3564.82
1761487202.14, 184.83, 523.48, 3564.82
1761487202.33, 182.51, 523.48, 3564.82
1761487202.51, 183.48, 523.48, 3564.82
1761487202.69, 210.96, 523.48, 3564.82
1761487202.91, 213.39, 523.48, 3564.82
1761487203.12, 193.53, 523.48, 3564.82
1761487203.31, 202.69, 523.48, 3564.82
1761487203.52, 223.07, 523.48, 3564.82
1761487203.74, 202.26, 523.48, 3564.82
1761487203.94, 196.57, 523.48, 3564.82
1761487204.14, 193.68, 523.48, 3564.82
1761487204.33, 192.87, 523.48, 3564.82
1761487204.53, 192.69, 523.48, 3564.82
1761487204.72, 227.29, 523.48, 3564.82
1761487204.95, 208.86, 523.48, 3564.82
1761487205.16, 193.66, 523.48, 3564.82
1761487205.35, 188.19, 523.48, 3564.82
1761487205.54, 188.80, 523.48, 3564.82
